trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9171208228166051}",30,0,-79.33435419560966,"{0: 19, 1: 6, 2: 3, 3: 2, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9130889403123083}",20,0,-62.967426607663384,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9089657496748851}",20,0,-127.28539044744979,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9047516632199635}",25,0,-106.78175984388632,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9004471023526769}",20,0,-95.42095941355086,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.8960524975255253}",25,0,-198.93878778771517,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
48,False,"{'a': 0.5, 'e': 0.8915682881953289}",30,0,-174.48171147333727,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.8869949227792842}",20,0,-32.343233846004765,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.8823328586101216}",20,15,-0.5703103093931534,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,0,-155.11287773720684,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.8727445076457513}",25,0,-147.78239014956614,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.8678191796776499}",30,0,-7.041284346383439,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.862807070514761}",30,0,-222.0638991487275,"{0: 17, 1: 3, 2: 4, 3: 3, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.8577086813638242}",20,0,-32.112694490338626,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.8525245220595057}",25,0,-106.80631500536113,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.8472551110134161}",25,0,-74.95872886425147,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.8419009751622687}",25,12,-110.07255966628537,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 2}",1
59,False,"{'a': 0.5, 'e': 0.8364626499151869}",25,0,-42.55119550596422,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.8309406791001634}",25,16,-26.410300332626065,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.8253356149096783}",25,0,-117.52072002612469,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.8196480178454795}",25,14,-10.011532541436088,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.8138784566625339}",30,0,-222.95932882264302,"{0: 18, 1: 2, 2: 4, 3: 2, 4: 4}",0
64,False,"{'a': 0.5, 'e': 0.8080275083121519}",20,0,-110.64667181988432,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.8020957578842927}",20,0,-149.10400864069524,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.7960837985490559}",30,0,-218.95948665689195,"{0: 19, 1: 0, 2: 6, 3: 1, 4: 4}",0
67,False,"{'a': 0.5, 'e': 0.7899922314973651}",25,0,-50.93453262020399,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.7838216658808492}",25,17,-41.1464944076771,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.7775727187509279}",25,11,-102.70112774444112,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 2}",1
70,False,"{'a': 0.5, 'e': 0.7712460149971065}",25,0,-74.34850052711798,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.7648421872844884}",30,0,-23.09894815467323,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.7583618759905082}",25,0,-173.22327795682912,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
73,False,"{'a': 0.5, 'e': 0.751805729140895}",20,0,-63.3930035096918,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.7451744023448704}",25,0,-39.35180294872015,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.7384685587295879}",30,0,-146.84970306972002,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.7316888688738209}",25,0,-101.62496718564682,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.7248360107409052}",20,0,-48.293022071688846,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.7179106696109434}",25,0,-140.83383401846385,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
79,False,"{'a': 0.5, 'e': 0.7109135380122773}",20,0,-48.69005672894829,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.7038453156522362}",20,0,-147.2810535766367,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 4}",1
81,False,"{'a': 0.5, 'e': 0.6967067093471655}",20,0,-26.83729050022674,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.6894984329517471}",20,0,-78.5058700566259,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.6822212072876136}",25,6,-106.55746200917795,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 2}",1
84,False,"{'a': 0.5, 'e': 0.6748757600712672}",25,5,-25.197195761306954,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.6674628258413082}",30,3,-114.1566682500333,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 2}",1
86,False,"{'a': 0.5, 'e': 0.6599831458849822}",30,13,-17.724731657009535,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.6524374681640519}",20,14,10.366464221385952,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.6448265472400012}",25,0,-36.57083512945971,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.6371511441985802}",25,14,-65.75685362063533,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
90,False,"{'a': 0.5, 'e': 0.6294120265736969}",20,1,-27.37304943421855,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.6216099682706645}",20,4,-64.89176616401707,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 0}",1
